sample,fastq_1,fastq_2,strandedness
S2-RE_rep1,/data/in-house/01T0010_good_1.fq.gz,/data/in-house/01T0010_good_2.fq.gz,unstranded
S2-RE_rep2,/data/in-house/01T0011_good_1.fq.gz,/data/in-house/01T0011_good_2.fq.gz,unstranded
S2-RE_rep3,/data/in-house/01T0012_good_1.fq.gz,/data/in-house/01T0012_good_2.fq.gz,unstranded
S2-RD_rep1,/data/in-house/01T0013_good_1.fq.gz,/data/in-house/01T0013_good_2.fq.gz,unstranded
S2-RD_rep2,/data/in-house/01T0014_good_1.fq.gz,/data/in-house/01T0014_good_2.fq.gz,unstranded
S2-SD_rep1,/data/in-house/01T0015_good_1.fq.gz,/data/in-house/01T0015_good_2.fq.gz,unstranded
S2-SD_rep2,/data/in-house/01T0016_good_1.fq.gz,/data/in-house/01T0016_good_2.fq.gz,unstranded
S2-SD_rep3,/data/in-house/01T0017_good_1.fq.gz,/data/in-house/01T0017_good_2.fq.gz,unstranded
S2-RD_rep3,/data/in-house/01T0018_good_1.fq.gz,/data/in-house/01T0018_good_2.fq.gz,unstranded
S1-RE_rep1,data/in-house/01T0001_good_1.fastq.gz,data/in-house/01T0001_good_2.fastq.gz,unstranded
S1-RE_rep2,data/in-house/01T0002_good_1.fastq.gz,data/in-house/01T0002_good_2.fastq.gz,unstranded
S1-RE_rep3,data/in-house/01T0003_good_1.fastq.gz,data/in-house/01T0003_good_2.fastq.gz,unstranded
S1-RD_rep1,data/in-house/01T0004_good_1.fastq.gz,data/in-house/01T0004_good_2.fastq.gz,unstranded
S1-RD_rep2,data/in-house/01T0005_good_1.fastq.gz,data/in-house/01T0005_good_2.fastq.gz,unstranded
S1-RD_rep3,data/in-house/01T0006_good_1.fastq.gz,data/in-house/01T0006_good_2.fastq.gz,unstranded
S1-SD_rep1,data/in-house/01T0007_good_1.fastq.gz,data/in-house/01T0007_good_2.fastq.gz,unstranded
S1-SD_rep2,data/in-house/01T0008_good_1.fastq.gz,data/in-house/01T0008_good_2.fastq.gz,unstranded
S1-SD_rep3,data/in-house/01T0009_good_1.fastq.gz,data/in-house/01T0009_good_2.fastq.gz,unstranded
